,best parameter,Test Error
Run 1,6.0,0.06505376344086021
Run 2,7.0,0.03494623655913978
Run 3,7.0,0.03655913978494624
Run 4,7.0,0.05806451612903226
Run 5,7.0,0.05591397849462366
Run 6,7.0,0.04516129032258064
Run 7,7.0,0.035483870967741936
Run 8,7.0,0.037096774193548385
Run 9,5.0,0.0489247311827957
Run 10,5.0,0.035483870967741936
Run 11,6.0,0.038172043010752686
Run 12,5.0,0.04516129032258064
Run 13,7.0,0.03333333333333333
Run 14,6.0,0.06129032258064516
Run 15,5.0,0.12204301075268817
Run 16,6.0,0.08602150537634409
Run 17,6.0,0.03494623655913978
Run 18,7.0,0.038172043010752686
Run 19,6.0,0.04838709677419355
Run 20,7.0,0.05
